altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.71308051609,1.26730527977,103.790910927,2,5,2,1726755100.85
8.71081748884,1.26730525537,103.790910904,2,5,2,1726755100.91
8.709398943,1.2673052503,103.790910917,2,5,2,1726755100.94
8.71071192808,1.26730526585,103.790910905,2,5,2,1726755101.03
8.71248297393,1.26730526174,103.790910909,2,5,2,1726755101.04
8.71306514181,1.26730525689,103.790910914,2,5,2,1726755101.1
8.70932138525,1.26730525201,103.790910919,2,5,2,1726755101.15
8.70916450582,1.26730525084,103.79091092,2,5,2,1726755101.19
8.71098342817,1.26730525077,103.790910911,2,5,2,1726755101.24
8.778695032,1.26730553084,103.790911041,2,5,2,1726755101.3
8.77558803558,1.2673055223,103.790911033,2,5,2,1726755101.35
8.77191414684,1.26730550622,103.790911025,2,5,2,1726755101.39
8.77277917415,1.2673055047,103.790911029,2,5,2,1726755101.44
8.77452839352,1.26730551026,103.790911024,2,5,2,1726755101.51
8.77523897681,1.2673055007,103.790911004,2,5,2,1726755101.55
8.77524899133,1.26730550015,103.790911023,2,5,2,1726755101.59
8.76781058498,1.26730549909,103.790911008,2,5,2,1726755101.63
8.77095925435,1.26730546746,103.790911008,2,5,2,1726755101.71
8.76620153151,1.26730546184,103.790911026,2,5,2,1726755101.75
8.76548481826,1.2673054688,103.790911008,2,5,2,1726755101.79
8.76260943245,1.26730547255,103.790911014,2,5,2,1726755101.84
8.76266140677,1.26730547002,103.790910989,2,5,2,1726755101.9
8.75535947178,1.26730543758,103.790910971,2,5,2,1726755101.95
8.7585550528,1.26730543832,103.790910975,2,5,2,1726755102.06
8.754911975,1.26730543075,103.790910981,2,5,2,1726755102.1
8.7507734783,1.26730543678,103.790910969,2,5,2,1726755102.15
8.74857087526,1.26730542408,103.790910965,2,5,2,1726755102.19
8.75273512211,1.26730543502,103.790910965,2,5,2,1726755102.24
8.77878081612,1.26730562209,103.790910947,2,5,2,1726755102.3
8.77434386685,1.26730562257,103.79091095,2,5,2,1726755102.34
8.77834885381,1.26730562082,103.790910956,2,5,2,1726755102.4
8.77544289362,1.26730560347,103.790910935,2,5,2,1726755102.45
8.77558850683,1.26730560647,103.790910946,2,5,2,1726755102.5
8.77706565149,1.26730562067,103.790910946,2,5,2,1726755102.55
8.77322580852,1.26730559657,103.790910933,2,5,2,1726755102.59
8.77550815884,1.26730558884,103.790910941,2,5,2,1726755102.65
8.77456558216,1.26730559039,103.790910936,2,5,2,1726755102.69
8.77291440405,1.26730560518,103.790910924,2,5,2,1726755102.75
8.7689934615,1.26730558744,103.790910914,2,5,2,1726755102.79
8.7693027202,1.26730558026,103.790910919,2,5,2,1726755102.84
8.76667914912,1.26730557749,103.790910936,2,5,2,1726755102.9
8.77109245863,1.26730559059,103.790910931,2,5,2,1726755102.95
8.7649109913,1.26730556888,103.790910926,2,5,2,1726755103.03
8.76211370621,1.26730557076,103.790910913,2,5,2,1726755103.05
8.76171496604,1.26730556398,103.790910925,2,5,2,1726755103.09
8.76453609299,1.26730556019,103.790910937,2,5,2,1726755103.14
8.76482354011,1.26730555984,103.790910935,2,5,2,1726755103.19
8.76248382777,1.26730556395,103.790910925,2,5,2,1726755103.24
8.76702220086,1.26730555759,103.790910929,2,5,2,1726755103.29
8.79366325494,1.26730577644,103.790910967,2,5,2,1726755103.34
8.79460096359,1.26730578692,103.790910958,2,5,2,1726755103.39
8.7933409512,1.26730577014,103.790910971,2,5,2,1726755103.45
8.79395338986,1.2673057546,103.790910955,2,5,2,1726755103.51
8.79466385767,1.26730577052,103.790910961,2,5,2,1726755103.54
8.79065434542,1.26730576874,103.790910956,2,5,2,1726755103.59
8.79005427938,1.26730576049,103.790910964,2,5,2,1726755103.64
8.79186600912,1.26730576504,103.790910968,2,5,2,1726755103.69
8.79270841274,1.26730574782,103.790910975,2,5,2,1726755103.74
8.79183973838,1.26730575723,103.790910979,2,5,2,1726755103.79
8.79075350892,1.26730574493,103.790910961,2,5,2,1726755103.84
8.79182257131,1.26730575098,103.790910971,2,5,2,1726755103.89
8.79064748622,1.26730574841,103.790910975,2,5,2,1726755103.94
8.78835341334,1.26730574474,103.790910963,2,5,2,1726755104.02
8.78989466932,1.26730573535,103.790910973,2,5,2,1726755104.04
8.78794610407,1.26730572586,103.790910977,2,5,2,1726755104.1
8.78839900345,1.26730573262,103.790910953,2,5,2,1726755104.15
8.78786304593,1.26730572619,103.790910966,2,5,2,1726755104.2
8.7865174897,1.26730571532,103.790910963,2,5,2,1726755104.24
8.79098064639,1.26730587497,103.790910918,2,5,2,1726755104.29
8.78828439396,1.26730587001,103.790910926,2,5,2,1726755104.34
8.78407747671,1.26730586958,103.790910925,2,5,2,1726755104.39
8.79175541457,1.26730585624,103.790910933,2,5,2,1726755104.44
8.79132074583,1.26730586414,103.790910934,2,5,2,1726755104.51
8.79464751203,1.26730585106,103.790910946,2,5,2,1726755104.55
8.7886346709,1.2673058524,103.790910927,2,5,2,1726755104.59
8.79414720647,1.26730584699,103.790910939,2,5,2,1726755104.64
8.79167965893,1.26730585042,103.790910932,2,5,2,1726755104.7
8.79210829362,1.26730585773,103.790910934,2,5,2,1726755104.75
8.79222998954,1.26730586256,103.790910935,2,5,2,1726755104.8
8.79311573599,1.26730585133,103.790910943,2,5,2,1726755104.84
8.79117945582,1.26730585624,103.79091094,2,5,2,1726755104.9
8.78652784694,1.26730585372,103.790910948,2,5,2,1726755104.94
8.79021232389,1.26730585768,103.790910945,2,5,2,1726755105.03
8.79124880489,1.26730585836,103.790910954,2,5,2,1726755105.05
8.79063791502,1.26730585485,103.790910956,2,5,2,1726755105.09
8.79180417955,1.26730586011,103.790910946,2,5,2,1726755105.15
8.79065746069,1.26730587141,103.790910944,2,5,2,1726755105.21
8.79141707532,1.26730588058,103.790910949,2,5,2,1726755105.24
8.78710256051,1.26730586153,103.790910936,2,5,2,1726755105.3
8.78647385072,1.2673059227,103.790910918,2,5,2,1726755105.34
8.78683637083,1.26730592874,103.790910911,2,5,2,1726755105.4
8.78637388255,1.26730593135,103.790910916,2,5,2,1726755105.45
8.78245787788,1.2673059257,103.790910895,2,5,2,1726755105.5
8.78470197599,1.26730592334,103.790910899,2,5,2,1726755105.54
8.78228160273,1.26730591932,103.790910901,2,5,2,1726755105.59
8.78595760651,1.26730590488,103.790910909,2,5,2,1726755105.64
8.78504746128,1.2673059155,103.790910911,2,5,2,1726755105.69
8.78412049357,1.26730592654,103.790910895,2,5,2,1726755105.74
8.77950541396,1.26730590186,103.790910892,2,5,2,1726755105.79
8.78052770626,1.26730589186,103.790910884,2,5,2,1726755105.84
8.77674200665,1.2673059011,103.790910884,2,5,2,1726755105.91
8.77734888624,1.26730590591,103.790910883,2,5,2,1726755105.95
8.77892002463,1.26730588834,103.79091087,2,5,2,1726755106.03
8.77914069872,1.26730588804,103.790910874,2,5,2,1726755106.04
8.77832512185,1.26730589115,103.790910869,2,5,2,1726755106.09
8.7804546915,1.26730588862,103.790910876,2,5,2,1726755106.14
8.77874871716,1.26730589175,103.790910879,2,5,2,1726755106.2
8.78143047448,1.26730588918,103.790910879,2,5,2,1726755106.24
8.77886956651,1.26730588689,103.790910874,2,5,2,1726755106.29
8.77495265845,1.26730588638,103.790910876,2,5,2,1726755106.35
8.79273253586,1.26730604118,103.790910726,2,5,2,1726755106.41
8.79342307057,1.26730604572,103.790910728,2,5,2,1726755106.44
8.79808626231,1.26730603377,103.790910723,2,5,2,1726755106.51
8.79331290536,1.26730603783,103.790910725,2,5,2,1726755106.54
8.7936840402,1.26730603771,103.790910746,2,5,2,1726755106.59
8.79007758573,1.26730602647,103.790910733,2,5,2,1726755106.64
8.78722593747,1.26730602676,103.790910704,2,5,2,1726755106.7
8.78852518275,1.26730602543,103.790910722,2,5,2,1726755106.74
8.79109134246,1.26730604263,103.790910742,2,5,2,1726755106.8
8.79096361808,1.267306036,103.790910737,2,5,2,1726755106.85
8.78532322682,1.26730603034,103.790910732,2,5,2,1726755106.9
8.78236459102,1.26730603455,103.79091073,2,5,2,1726755106.94
8.7801837381,1.26730601401,103.790910712,2,5,2,1726755107.03
8.78243444022,1.26730600853,103.790910725,2,5,2,1726755107.04
