altitude,latitude,longitude,Time (s)
17.7452489957,1.27376364551,103.789994923,1714983294.81
17.7480214974,1.27376363521,103.789994944,1714983294.86
17.7638141559,1.27376369812,103.789994958,1714983294.9
17.7636838015,1.273763697,103.789994974,1714983294.95
17.7647727653,1.27376367302,103.789994978,1714983295.04
17.7615782879,1.27376362614,103.789994935,1714983295.05
17.7626767354,1.27376367136,103.789994894,1714983295.12
17.7587747769,1.27376367057,103.789994895,1714983295.15
17.7610203996,1.27376365328,103.789994922,1714983295.22
17.7650390547,1.2737636439,103.789994953,1714983295.25
17.7647451274,1.27376365078,103.78999496,1714983295.3
17.7593158912,1.27376364064,103.789994924,1714983295.35
17.7612216268,1.27376365208,103.789994887,1714983295.4
17.7607872365,1.27376365672,103.789994891,1714983295.45
17.7565420317,1.273763638,103.789994925,1714983295.51
17.7550368076,1.2737636275,103.789994965,1714983295.55
17.7535154847,1.27376362691,103.789994956,1714983295.62
17.7542989971,1.27376364759,103.789994929,1714983295.65
17.7552291639,1.27376364261,103.789994908,1714983295.7
17.7588252975,1.27376367122,103.789994921,1714983295.75
17.7564079529,1.27376368026,103.78999493,1714983295.8
17.7493734583,1.27376366527,103.78999494,1714983295.86
17.747617255,1.27376367355,103.789994951,1714983295.91
17.7498767097,1.2737637074,103.789994957,1714983295.96
17.7539915089,1.27376368977,103.789994967,1714983296.04
17.7573529035,1.2737636826,103.789994951,1714983296.06
17.7548679216,1.27376367238,103.78999495,1714983296.12
17.7515449338,1.27376368978,103.789994937,1714983296.16
17.751964137,1.27376367195,103.78999494,1714983296.21
17.7547709895,1.27376367674,103.789994957,1714983296.26
17.751104095,1.27376364562,103.78999495,1714983296.31
17.7474290701,1.27376364772,103.789994948,1714983296.36
17.7501411289,1.27376367294,103.789994959,1714983296.41
17.7513896618,1.27376364945,103.789994973,1714983296.46
17.7533162581,1.27376365268,103.78999496,1714983296.51
17.749307855,1.27376365362,103.789994955,1714983296.58
17.7521046819,1.27376366269,103.789994935,1714983296.61
